item_name,item_price,item_max_discounted_price,user_id,star_rating,review_date,review_cont,img_addrs_str
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,rja**************,5,2023.05.08,좋은 신상품 저렴하게 잘 산것같아요,
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,ckh****,5,2023.05.07,싸게 잘 샀어요..,
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,ymi***,5,2023.05.07,너무 만족합니다.주문랑이 많았을텐데 빨리 보내주셔서 감사합니다,http://static2.e-himart.co.kr/contents/content/upload/goodsComments/0019837180/goodsComments_20230507071235652.jpg
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,j36************,5,2023.05.07,좋은가격에 잘삿어요,
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,k64****,5,2023.05.07,배송이 조금 걸리긴 했지만 물건은 아주 만족합니다,
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,air*************,5,2023.05.07,좀기다렸지만 좋은가격 만족합니다.,
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,cyb***************,5,2023.05.07,싸게 잘구매했어요 ssd 대장,http://static2.e-himart.co.kr/contents/content/upload/goodsComments/0019837180/goodsComments_20230507112927446.jpg
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,lee**************,5,2023.05.07,최고 스펙답게 성능 좋습니다,http://static2.e-himart.co.kr/contents/content/upload/goodsComments/0019837180/goodsComments_20230507103322558.jpg
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,dnw****,5,2023.05.07,좋아요 대만족 합니다 저가로 잘구매했어요,http://static2.e-himart.co.kr/contents/content/upload/goodsComments/0019837180/goodsComments_20230507101924283.jpeg
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,min***,5,2023.05.07,좋은가격에 구매했습니다. 아직 장착전이라 최신제품이니 좋겠죠 ^^,http://static2.e-himart.co.kr/contents/content/upload/goodsComments/0019837180/goodsComments_20230507035531523.jpg
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,rja**************,5,2023.05.08,좋은 신상품 저렴하게 잘 산것같아요,
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,ckh****,5,2023.05.07,싸게 잘 샀어요..,
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,ymi***,5,2023.05.07,너무 만족합니다.주문랑이 많았을텐데 빨리 보내주셔서 감사합니다,http://static2.e-himart.co.kr/contents/content/upload/goodsComments/0019837180/goodsComments_20230507071235652.jpg
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,j36************,5,2023.05.07,좋은가격에 잘삿어요,
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,k64****,5,2023.05.07,배송이 조금 걸리긴 했지만 물건은 아주 만족합니다,
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,air*************,5,2023.05.07,좀기다렸지만 좋은가격 만족합니다.,
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,cyb***************,5,2023.05.07,싸게 잘구매했어요 ssd 대장,http://static2.e-himart.co.kr/contents/content/upload/goodsComments/0019837180/goodsComments_20230507112927446.jpg
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,lee**************,5,2023.05.07,최고 스펙답게 성능 좋습니다,http://static2.e-himart.co.kr/contents/content/upload/goodsComments/0019837180/goodsComments_20230507103322558.jpg
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,dnw****,5,2023.05.07,좋아요 대만족 합니다 저가로 잘구매했어요,http://static2.e-himart.co.kr/contents/content/upload/goodsComments/0019837180/goodsComments_20230507101924283.jpeg
삼성전자 990 PRO PCIe 4.0 NVMe SSD 2TB 2테라 MZ-V9P2T0BW 공식인증 (정품),550000,440000,min***,5,2023.05.07,좋은가격에 구매했습니다. 아직 장착전이라 최신제품이니 좋겠죠 ^^,http://static2.e-himart.co.kr/contents/content/upload/goodsComments/0019837180/goodsComments_20230507035531523.jpg
애플 펜슬 Apple Pencil 2세대,195000,183300,yun****,5,2023.05.07,좋아요  최상의 상태로  왔네요,
